USER,COURSE_ID,SCORE
37465,RP0105EN,27.0
37465,TMP0105EN,27.0
37465,BD0212EN,27.0
37465,SC0103EN,27.0
37465,excourse31,27.0
37465,excourse72,27.0
37465,excourse73,27.0
37465,BD0145EN,24.0
37465,BD0143EN,24.0
37465,BD0141EN,24.0
50348,CC0271EN,2.0
50348,WA0103EN,2.0
50348,DS0201EN,2.0
50348,CC0210EN,2.0
50348,HCC104EN,2.0
50348,SECM03EN,2.0
50348,SW0201EN,2.0
50348,SW0101EN,2.0
50348,WA0101EN,2.0
50348,CO0401EN,2.0
52091,ML0122EN,4.0
52091,PA0103EN,4.0
52091,PA0107EN,4.0
52091,GPXX0IBEN,4.0
52091,BD0151EN,4.0
52091,TA0106EN,4.0
52091,GPXX01DCEN,4.0
52091,GPXX0ZMZEN,4.0
52091,PA0101EN,4.0
52091,GPXX0KHHEN,4.0
70434,BD0212EN,6.0
70434,SC0103EN,6.0
70434,BD0211EN,6.0
70434,excourse72,6.0
70434,excourse73,6.0
70434,BD0143EN,4.0
70434,BD0223EN,4.0
70434,BD0121EN,4.0
70434,DJ0101EN,4.0
70434,GPXX0M6UEN,4.0
85625,RP0105EN,54.0
85625,TMP0105EN,54.0
85625,BD0212EN,54.0
85625,SC0103EN,54.0
85625,BD0211EN,54.0
85625,DB0151EN,54.0
85625,BD0101EN,54.0
85625,GPXX0M6UEN,54.0
85625,GPXX097UEN,54.0
85625,excourse03,54.0
108541,RP0105EN,27.0
108541,TMP0105EN,27.0
108541,BD0212EN,27.0
108541,SC0103EN,27.0
108541,excourse72,27.0
108541,excourse73,27.0
108541,BD0145EN,24.0
108541,BD0143EN,24.0
108541,BD0141EN,24.0
108541,BD0121EN,24.0
109915,GPXX04V3EN,12.0
109915,CC0150EN,12.0
109915,ML0201EN,9.0
109915,GPXX0ZG0EN,9.0
109915,RP0105EN,9.0
109915,DE0205EN,9.0
109915,OS0101EN,9.0
109915,CC0210EN,9.0
109915,HCC104EN,9.0
109915,TMP0105EN,9.0
134697,CB0201EN,2.0
134697,CB0101EN,2.0
134697,GPXX0QQ3EN,2.0
134697,ML0201EN,0.0
134697,ML0122EN,0.0
134697,GPXX0ZG0EN,0.0
134697,RP0105EN,0.0
134697,GPXX0Z2PEN,0.0
134697,CNSC02EN,0.0
134697,DX0106EN,0.0
142685,ML0122EN,2.0
142685,DAI101EN,2.0
142685,HCC105EN,2.0
142685,DS0132EN,2.0
142685,BENTEST4,2.0
142685,PA0103EN,2.0
142685,PA0107EN,2.0
142685,GPXX0IBEN,2.0
142685,TA0105,2.0
142685,SW0201EN,2.0
149690,RP0105EN,30.0
149690,TMP0105EN,30.0
149690,BD0212EN,30.0
149690,SC0103EN,30.0
149690,excourse72,30.0
149690,excourse73,30.0
149690,BD0145EN,24.0
149690,BD0143EN,24.0
149690,BD0141EN,24.0
149690,BD0121EN,24.0
152320,RP0105EN,36.0
152320,TMP0105EN,36.0
152320,SC0103EN,36.0
152320,excourse72,36.0
152320,excourse73,36.0
152320,GPXX0TY1EN,33.0
152320,DJ0101EN,27.0
152320,excourse02,27.0
152320,excourse31,27.0
152320,GPXX0IBEN,24.0
160015,RP0105EN,39.0
160015,TMP0105EN,39.0
160015,BD0212EN,39.0
160015,SC0103EN,39.0
160015,excourse72,39.0
160015,excourse73,39.0
160015,BD0145EN,36.0
160015,BD0143EN,36.0
160015,BD0121EN,36.0
160015,DB0151EN,36.0
161471,RP0105EN,12.0
161471,BD0145EN,12.0
161471,TMP0105EN,12.0
161471,BD0212EN,12.0
161471,SC0103EN,12.0
161471,BD0143EN,12.0
161471,BD0141EN,12.0
161471,TA0106EN,12.0
161471,BD0121EN,12.0
161471,BD0131EN,12.0
179356,ML0122EN,2.0
179356,RP0105EN,2.0
179356,DX0106EN,2.0
179356,DAI101EN,2.0
179356,HCC105EN,2.0
179356,DS0132EN,2.0
179356,BENTEST4,2.0
179356,PA0103EN,2.0
179356,PA0107EN,2.0
179356,RP0103,2.0
181124,RP0105EN,30.0
181124,TMP0105EN,30.0
181124,BD0212EN,30.0
181124,SC0103EN,30.0
181124,excourse72,30.0
181124,excourse73,30.0
181124,BD0145EN,24.0
181124,BD0141EN,24.0
181124,BD0131EN,24.0
181124,BD0115EN,24.0
182509,RP0105EN,27.0
182509,TMP0105EN,27.0
182509,BD0212EN,27.0
182509,SC0103EN,27.0
182509,excourse72,27.0
182509,excourse73,27.0
182509,GPXX0TY1EN,24.0
182509,excourse31,24.0
182509,ML0122EN,21.0
182509,GPXX0IBEN,21.0
182847,RP0105EN,2.0
182847,WA0103EN,2.0
182847,TMP0105EN,2.0
182847,PA0109EN,2.0
182847,BD0212EN,2.0
182847,GPXX0IBEN,2.0
182847,SC0103EN,2.0
182847,ST0201EN,2.0
182847,ST0301EN,2.0
182847,TMP0101EN,2.0
187819,TMP0105EN,78.0
187819,excourse72,78.0
187819,excourse73,78.0
187819,BD0145EN,63.0
187819,BD0143EN,63.0
187819,BD0121EN,63.0
187819,DB0151EN,63.0
187819,GPXX0M6UEN,63.0
187819,GPXX097UEN,63.0
187819,excourse03,63.0
189913,GPXX0IBEN,25.0
189913,TA0106EN,25.0
189913,ML0101EN,21.0
189913,excourse21,21.0
189913,excourse22,21.0
189913,PA0103EN,19.0
189913,PA0107EN,19.0
189913,ML0122ENv1,19.0
189913,BD0151EN,19.0
189913,GPXX01DCEN,19.0
203388,GPXX0Q8AEN,15.0
203388,excourse20,15.0
203388,excourse23,15.0
203388,excourse36,15.0
203388,excourse38,15.0
203388,ML0122EN,12.0
203388,DX0108EN,12.0
203388,TMP107,12.0
203388,GPXX04V3EN,12.0
203388,ML0101EN,12.0
211118,ML0101EN,6.0
211118,excourse21,6.0
211118,excourse22,6.0
211118,DX0108EN,4.0
211118,PA0103EN,4.0
211118,PA0107EN,4.0
211118,GPXX0IBEN,4.0
211118,ML0122ENv1,4.0
211118,BD0151EN,4.0
211118,TA0106EN,4.0
220851,CB0201EN,2.0
220851,CB0101EN,2.0
220851,GPXX0QQ3EN,2.0
220851,ML0201EN,0.0
220851,ML0122EN,0.0
220851,GPXX0ZG0EN,0.0
220851,RP0105EN,0.0
220851,GPXX0Z2PEN,0.0
220851,CNSC02EN,0.0
220851,DX0106EN,0.0
243266,DE0205EN,4.0
243266,GPXX0G31EN,4.0
243266,ML0201EN,2.0
243266,GPXX0ZG0EN,2.0
243266,RP0105EN,2.0
